"name"        ,"permission"
"超级管理员"  ,"*"
"系统管理员"  ,"system,sys_sys"
"账号管理员"  ,"system,sys_user,account,group,auth,session,device"
"流程管理员"  ,"system,sys_bpm,bpm,task,form,model"
"内容管理员"  ,"system,sys_cms,cms,feedback"
"行政管理员"  ,"system,sys_logistic,car,meeting,book,officesupply,visitor,card,seat,stamp,asset,activity,sign,vote"
"人事管理员"  ,"system,sys_hr,org,position,workcal,employee,contract,salary,socialsecurity,recruit,train,performance,attendance,leave"
"普通用户"    ,"portal,sys_pim,menu_pim,pim,mail,disk,report,bpm-user"
"财务管理员"  ,"system,finance,expense,budget"
"CRM管理员"   ,"system,crm,customer,product,business"
"进销存管理员","system,retail,sale,purchase,inventory"
