"CODE"      ,"NAME"      ,"TYPE" ,"PLATFORM","URL"
"bpm"       ,"审批中心"  ,"user" ,"web"     ,"/workspace-home.do"
"bpm"       ,"审批管理"  ,"admin","web"     ,"/bpm-process-list.do.do"
"pim"       ,"协作中心"  ,"user" ,"web"     ,"/index.do"
"knowledge" ,"知识中心"  ,"user" ,"web"     ,"/index.do"
"travel"    ,"差旅申请"  ,"user" ,"web"     ,"/index.do"
"asset"     ,"个人资产"  ,"user" ,"web"     ,"/my/index.do"
"asset"     ,"资产管理"  ,"admin","web"     ,"/asset-info-list.do"
"space"     ,"空间管理"  ,"admin","web"     ,"/space-seat-list.do"
"meeting"   ,"会议室预定","user" ,"web"     ,"/index.do"
"meeting"   ,"会议室管理","admin","web"     ,"/meeting-room-list.do"
"card"      ,"工卡管理"  ,"admin","web"     ,"/card-info-list.do"
"visitor"   ,"访客邀请"  ,"user" ,"web"     ,"/index.do"
"visitor"   ,"访客管理"  ,"admin","web"     ,"/visitor-info-list.do"
"visitor"   ,"访客邀请"  ,"user" ,"pad"     ,"/pad/index.do"
"javamail"  ,"电子邮件"  ,"user" ,"web"     ,"/index.do"
"ticket"    ,"工单"      ,"user" ,"web"     ,"/index.do"
"disk"      ,"网盘"      ,"user" ,"web"     ,"/index.do"
"leave"     ,"休假申请"  ,"user" ,"web"     ,"leave-info-list.do"
"attendance","考勤"      ,"user" ,"web"     ,"/attendance-info-list.do"
"stamp"     ,"印章申请"  ,"user" ,"web"     ,"/stamp-info-list.do"
"expance"   ,"报销 "     ,"user" ,"web"     ,"/expanse-info-list.do"
"open"      ,"运营平台"  ,"admin","web"     ,"/open-app-list.do"
"my"        ,"个人中心"  ,"user" ,"web"     ,"/my-info-input.do"
"user"      ,"账号管理"  ,"admin","web"     ,"/account-info-list.do"
"cms"       ,"内容管理"  ,"admin","web"     ,"/cms-article-list.do"
"plm"       ,"项目管理"  ,"user" ,"web"     ,"/index.do"
